# List of aircraft types to use in the traffic database
# Open in Excel as a comma delimited file for viewing/editing

# Notes:
#   typeKey = a unique keyword used to identify this type of aircraft (max 15 chars)
#   title = the aircraft title string from aircraft.cfg
#   speed = cruising speed in knots true airspeed (KTAS)
#   minAlt maxAlt = minimum and maximum cruise flight levels in hundreds of feet
#   minRange maxRange = minimum and maximum range in nautical miles
#   minRwyLen = minimum runway length in feet required by this aircraft
#   runwayTypes = HARD|SOFT|WATER|SNOW (choose one or more)
#   radius = minimum parking radius in meters required by this aircraft
#   parkingTypes = RAMP|CARGO|GATE|DOCK|MIL_CARGO|MIL_COMBAT (choose one or more)
#   IFR% = probability of this aircraft flying IFR (0 - 100)
#   AutoRoute? = automatically generate route for this aircraft (yes/no)
#   TouchAndGo? = allow touch and goes when automatically generating routes (yes/no)
#
#   Duplicate entries are used to roughly allocate weight to various aircraft (e.g. we
#   want the Maul to be 40% as common as the 172. Also note that some radius values may
#   not be accurate. They can be tweaked upward to get desireable distribution - CARGO
#   spots are 50 meters so we call the 747 cargo variant 40 meters to make them be accepted
#   as valid for CARGO parking areas.
#

# typeKey,Title,Cruise,minAlt,maxAlt,minRange,maxRange,minRwyLen,runwayTypes,radius,parkingTypes,IFR%,AutoRoute?,TouchAndGo?
#,,(KTAS),(FL),(FL),(nm),(nm),(ft),,(m),,,,
A36-1,CARENADO A36 BONANZA WHITE,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-2,CARENADO A36 BONANZA STRIPES,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-3,CARENADO A36 BONANZA DEEP GREEN,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-4,CARENADO A36 BONANZA 60th ANNIVERSARY,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-1a,CARENADO A36 BONANZA WHITE,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-2a,CARENADO A36 BONANZA STRIPES,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-3a,CARENADO A36 BONANZA DEEP GREEN,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-4a,CARENADO A36 BONANZA 60th ANNIVERSARY,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-1b,CARENADO A36 BONANZA WHITE,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-2b,CARENADO A36 BONANZA STRIPES,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-3b,CARENADO A36 BONANZA DEEP GREEN,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
A36-4b,CARENADO A36 BONANZA 60th ANNIVERSARY,169,40,185,50,835,2040,HARD,6,RAMP,50,yes,no
MA-1,Mooney Acclaim With G1000,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-2,Mooney Acclaim With G1000 1,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-3,Mooney Acclaim With G1000 2,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-4,Mooney Acclaim With G1000 3,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-5,Mooney Acclaim With G1000 4,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-1a,Mooney Acclaim With G1000,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-2a,Mooney Acclaim With G1000 1,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-3a,Mooney Acclaim With G1000 2,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-4a,Mooney Acclaim With G1000 3,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
MA-5a,Mooney Acclaim With G1000 4,234,50,250,50,1400,2500,HARD,6,RAMP,50,yes,no
A321-2,Commercial Airliner Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4,Commercial Airliner Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-5,Commercial Airliner Paint5,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-2a,Commercial Airliner Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4a,Commercial Airliner Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-5a,Commercial Airliner Paint5,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-2b,Commercial Airliner Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4b,Commercial Airliner Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
